OG Link,Shortened Link (sorted alphabetically),Duplicate?,base_url,duplicated
https://www.proquest.com/docview/1027550899/abstract/39C38B9E225B4415PQ/1800?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/1027550899,Unique,https://www.proquest.com/docview/1027550899,Unique
https://www.proquest.com/docview/1223343560/abstract/39C38B9E225B4415PQ/1597?accountid=14771,https://www.proquest.com/docview/1223343560,Unique,https://www.proquest.com/docview/1223343560,Unique
https://www.proquest.com/docview/1272330925/abstract/7575FAA4955647FEPQ/847?accountid=14771,https://www.proquest.com/docview/1272330925,Unique,https://www.proquest.com/docview/1272330925,Unique
https://www.proquest.com/docview/1292635366/abstract/278790EACCE54AA6PQ/128?accountid=14771,https://www.proquest.com/docview/1292635366,Duplicate,https://www.proquest.com/docview/1292635366,Duplicate
https://www.proquest.com/docview/1292635366/abstract/7575FAA4955647FEPQ/512?accountid=14771,https://www.proquest.com/docview/1292635366,Duplicate,https://www.proquest.com/docview/1292635366,Duplicate
https://www.proquest.com/docview/1292635366/citation/B74393533E064F01PQ/575?accountid=14771,https://www.proquest.com/docview/1292635366,Duplicate,https://www.proquest.com/docview/1292635366,Duplicate
https://www.proquest.com/docview/1292635366/abstract/39C38B9E225B4415PQ/804?accountid=14771,https://www.proquest.com/docview/1292635366,Duplicate,https://www.proquest.com/docview/1292635366,Duplicate
https://www.proquest.com/docview/1292635366/abstract/699ED3E543144D9EPQ/1940?accountid=14771,https://www.proquest.com/docview/1292635366,Duplicate,https://www.proquest.com/docview/1292635366,Duplicate
https://www.proquest.com/docview/1512727210/abstract/699ED3E543144D9EPQ/1144?accountid=14771,https://www.proquest.com/docview/1512727210,Duplicate,https://www.proquest.com/docview/1512727210,Duplicate
https://www.proquest.com/docview/1512727210/abstract/E6880F222B744002PQ/1219?accountid=14771,https://www.proquest.com/docview/1512727210,Duplicate,https://www.proquest.com/docview/1512727210,Duplicate
https://www.proquest.com/docview/1512727210/abstract/39C38B9E225B4415PQ/463?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/1512727210,Duplicate,https://www.proquest.com/docview/1512727210,Duplicate
https://www.proquest.com/docview/1512727210/abstract/1B026C73F2494CBCPQ/205?accountid=14771,https://www.proquest.com/docview/1512727210,Duplicate,https://www.proquest.com/docview/1512727210,Duplicate
https://www.proquest.com/docview/1651176074/abstract/7575FAA4955647FEPQ/1441?accountid=14771,https://www.proquest.com/docview/1651176074,Unique,https://www.proquest.com/docview/1651176074,Unique
https://www.proquest.com/docview/1722428767/abstract/278790EACCE54AA6PQ/49?accountid=14771,https://www.proquest.com/docview/1722428767,Unique,https://www.proquest.com/docview/1722428767,Unique
https://www.proquest.com/docview/1813275515/citation/7575FAA4955647FEPQ/1126?accountid=14771,https://www.proquest.com/docview/1813275515,Duplicate,https://www.proquest.com/docview/1813275515,Duplicate
https://www.proquest.com/docview/1813275515/abstract/86C22B8B775042CFPQ/639?accountid=14771,https://www.proquest.com/docview/1813275515,Duplicate,https://www.proquest.com/docview/1813275515,Duplicate
https://www.proquest.com/docview/1813275515/abstract/39C38B9E225B4415PQ/1724?accountid=14771,https://www.proquest.com/docview/1813275515,Duplicate,https://www.proquest.com/docview/1813275515,Duplicate
https://www.proquest.com/docview/1888950230/citation/7575FAA4955647FEPQ/1482?accountid=14771,https://www.proquest.com/docview/1888950230,Unique,https://www.proquest.com/docview/1888950230,Unique
https://www.proquest.com/docview/1909322535/abstract/86C22B8B775042CFPQ/804?accountid=14771,https://www.proquest.com/docview/1909322535,Unique,https://www.proquest.com/docview/1909322535,Unique
https://www.proquest.com/docview/1922853385/abstract/7575FAA4955647FEPQ/1468?accountid=14771,https://www.proquest.com/docview/1922853385,Unique,https://www.proquest.com/docview/1922853385,Unique
https://www.proquest.com/docview/1935396773/abstract/39C38B9E225B4415PQ/1544?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/1935396773,Unique,https://www.proquest.com/docview/1935396773,Unique
https://www.proquest.com/docview/1977511240/abstract/39C38B9E225B4415PQ/1484?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/1977511240,Unique,https://www.proquest.com/docview/1977511240,Unique
https://www.proquest.com/docview/2108581071/abstract/39C38B9E225B4415PQ/1751?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2108581071,Unique,https://www.proquest.com/docview/2108581071,Unique
https://www.proquest.com/docview/2190302444/abstract/39C38B9E225B4415PQ/1318?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2190302444,Unique,https://www.proquest.com/docview/2190302444,Unique
https://www.proquest.com/docview/2199849207/abstract/39C38B9E225B4415PQ/1647?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2199849207,Unique,https://www.proquest.com/docview/2199849207,Unique
https://www.proquest.com/docview/2226074482/citation/86C22B8B775042CFPQ/998?accountid=14771,https://www.proquest.com/docview/2226074482,Unique,https://www.proquest.com/docview/2226074482,Unique
https://www.proquest.com/docview/2228581176/abstract/39C38B9E225B4415PQ/1787?accountid=14771&sourcetype=Scholarly%20Journals,https://www.proquest.com/docview/2228581176,Unique,https://www.proquest.com/docview/2228581176,Unique
https://www.proquest.com/docview/2260409200/citation/278790EACCE54AA6PQ/271?accountid=14771,https://www.proquest.com/docview/2260409200,Unique,https://www.proquest.com/docview/2260409200,Unique
https://www.proquest.com/docview/2315621259/abstract/86C22B8B775042CFPQ/1331?accountid=14771,https://www.proquest.com/docview/2315621259,Unique,https://www.proquest.com/docview/2315621259,Unique
https://www.proquest.com/docview/2317711529/abstract/7DDF38C0B86A4235PQ/484?accountid=14771,https://www.proquest.com/docview/2317711529,Duplicate,https://www.proquest.com/docview/2317711529,Duplicate
https://www.proquest.com/docview/2317711529/abstract/150C6889B07F4AE0PQ/742?accountid=14771,https://www.proquest.com/docview/2317711529,Duplicate,https://www.proquest.com/docview/2317711529,Duplicate
https://www.proquest.com/docview/2379558239/abstract/86C22B8B775042CFPQ/163?accountid=14771,https://www.proquest.com/docview/2379558239,Unique,https://www.proquest.com/docview/2379558239,Unique
https://www.proquest.com/docview/2429376627/citation/7575FAA4955647FEPQ/1148?accountid=14771,https://www.proquest.com/docview/2429376627,Duplicate,https://www.proquest.com/docview/2429376627,Duplicate
